,Wat,Tam,Sur,Ser,Ros,Reu,Piq,Laf,Jon,Jab,Gia,Gab,Che,Arn,And,Jar,Man,Dea,Reb,Pro,Vil,Sto,Zun,Dec,Pat,Sal,Bor,Gue,Pir,Alb,Dal
Wat,,3,2,,2,4,2,1,,,3,,,1,3,1,1,3,1,3,2,,,,2,1,2,,2,1,
Tam,1,,2,,1,,3,,,2,2,,1,,4,1,2,2,3,,1,,1,3,1,,1,,2,,1
Sur,1,4,,2,2,,,1,,1,1,,,,,2,1,1,1,1,,,,,2,,3,,,,2
Ser,,,1,,,,,1,,,,,,,,,,,1,,,1,,,,1,,,,,
Ros,,,,,,,1,,,,1,,,,,1,1,1,,,,,,,,,,,,,
Reu,,,2,,,,2,2,1,,,,1,2,2,,1,,,,2,,,1,1,,1,,4,,
Piq,2,1,,,1,4,,3,2,,2,,,2,,,1,,,1,1,,,,1,,,,6,,
Laf,5,,,,1,4,3,,2,,1,,,2,1,2,,1,,1,1,,,1,1,,,,4,,
Jon,1,,,,1,3,1,,,1,2,,,2,1,,,,1,2,2,,,,1,,1,,3,,
Jab,,1,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,
Gia,2,,,2,1,1,4,2,1,,,,,,1,1,2,3,1,,,1,1,1,1,,1,,1,,1
Gab,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Che,1,2,1,,2,,,,,,1,1,,,2,1,2,1,2,,,,,1,1,,1,,2,1,1
Arn,,,2,1,1,2,,1,,,1,,,,1,,1,,2,,2,,,2,1,1,1,,2,,
And,1,3,1,,,2,1,,,,,,1,,,1,3,2,,,,1,,2,,,1,,1,,1
Jar,1,,2,,1,,,2,,,2,,1,,2,,1,,2,1,,,,1,,,,,,,
Man,2,,1,,2,1,3,1,,,1,,,1,3,1,,,2,,2,,,1,2,2,,,1,,
Dea,1,3,1,1,1,,,1,,,5,,1,,5,1,,,1,,2,1,1,2,5,,,,4,,2
Reb,,3,2,1,2,1,,1,1,1,4,,4,3,3,,1,3,,1,,,,3,3,,1,,4,1,
Pro,1,1,1,,1,1,1,1,3,,,,,1,1,,1,,,,1,,,,1,,,,,,
Vil,2,,,,,1,1,1,2,,1,,,1,,,1,1,,1,,1,2,2,,1,1,,,,
Sto,,,2,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,1,
Zun,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Dec,2,2,1,,1,1,,,,,2,,1,1,4,1,3,4,,,1,,,,1,1,1,,1,1,1
Pat,,2,1,,2,1,,1,1,,1,,1,,3,1,,4,3,,2,,,,,,,,3,,2
Sal,,1,1,,2,,,,,,1,,1,,,1,1,,,,1,1,,,,,1,,1,2,
Bor,1,1,3,,1,,,,,,,,,,,3,,,,,,1,,1,,1,,,,1,
Gue,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Pir,1,,2,,1,,3,1,,,3,,1,,1,,1,2,2,1,,,,1,3,,,,,1,2
Alb,1,,1,,2,,,,1,,3,,1,,,,,,,,,1,,,,1,,,1,,
Dal,1,,,,1,1,,,,,,,,,1,,2,3,,,,,,2,2,,,,,,
