_key,alboreto,suzuki,barbazza,baddoer,warwick,decesaris,boutsen,badoer,alliot,herbert,barrichello,katayama,outsen,lehto,comas,schumacher,senna,hill,zanardi,fittipaldi,brundle,patrese,blundell,wendlinger,martini,alesi,berger,prost,irvine,lamy,gounon,hakkinen,andretti
fittipaldi,2,3,5,1,3,1,2,4,3,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,
prost,1,2,1,,2,,1,,2,2,2,2,,1,2,2,5,3,2,2,2,1,2,1,1,,,,,,,,
schumacher,,1,,,2,,,,1,2,1,,,1,,,3,,,,1,3,2,,1,4,1,1,1,,,,
brundle,2,1,,,1,1,1,,2,2,,1,,,,,,,2,1,,,1,2,3,,1,,,1,,,
lehto,,1,,,2,,1,,3,,,,,,1,,,,,1,,,1,1,1,1,,,,,,,
warwick,1,1,2,,,1,,1,,1,,,,,,,,,1,1,,,1,,,1,1,,,,,,
comas,1,2,,,1,1,1,4,1,,,1,,,,,,,,,,,,1,2,,,,,,1,,
hill,,1,,,2,1,,,,2,1,,,1,,1,1,,,,2,2,1,1,,1,3,,1,1,,1,
wendlinger,1,1,,,,,,1,,1,,,,,1,,,,,1,,1,1,,1,1,,,,1,,,
suzuki,,,1,,1,1,,1,,1,,1,,2,2,,,,,,,,1,,,,,,1,,,,
zanardi,,1,,,,1,2,,3,3,1,2,,,,,,,,,,,1,,1,,,,,,,,
alesi,,,,,,,1,,2,1,2,1,,,,,,,,1,1,,,3,2,,3,,,,,,
decesaris,1,,1,,,,,1,,,,3,,,,,,,,1,,,,,,,,,,,,,
badoer,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,
alliot,,,1,,1,,1,,,,,,,,,,,,3,,,,,,1,,,,,,,,
blundell,,,,,1,1,,,,1,1,,,,,,,,1,,,,,,,1,3,,,,,,
senna,1,,,,,,1,1,1,2,1,1,,1,,1,,2,1,2,,2,,1,1,,2,2,,,,,
scumacher,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
boutsen,,,1,,,2,,2,,,,,,,,,,,,1,,,1,,,,,,,,,,
barbazza,,,,,2,1,,1,1,,,1,,,,,,,1,3,,,,,,,,,,,,,
herbert,,1,1,,2,,1,,,,,,,1,,,,,,,,1,1,,,,,,,,,,
barrichello,,,,,,1,1,1,2,,,1,,1,,,,1,,1,,1,,,,2,2,,,,,,
patrese,,,2,,1,1,,,1,,2,,,1,1,,,,,,3,,1,,,,1,,,1,,,1
katayama,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
berger,,2,,,1,1,,1,1,,1,1,,,1,,,,,1,2,,3,,2,1,,,,,,,
andretti,,,1,,2,1,,3,2,,1,2,,2,1,,,,,3,,2,,1,1,1,1,,,2,,,
martini,1,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
lamy,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,
tsuzuki,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
hakkinen,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,
irvine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
