Name,Katayama,Blundell,Coulthard,Brundle,Hill,Mansell,Comas,Lehto,Schumacher,Bernard,Hakkinen,Herbert,Salo,Wend linger,Alesi,Barrichello,Berger,Lamy,Adams,Gachot,Noka,Suzuki,Zanardi,Alliot,Irvine,Lagorce,Ratzenberger,Verstappen,Morbidelli,Panis,Dalmas,Beretta,Frentzen,Fittipaldi,Gounon,De Cesaris,Martini,Brabham,Alboreto,Total pass
Katayama,,,,,,,4,,,4,2,1,,1,,1,1,,1,,,,1,,2,,,,3,2,1,1,1,1,2,1,2,1,4,
Blundell,,,,1,,,,1,,,,2,1,,,1,,,,,,,,,,,,,,3,1,1,,4,1,1,3,1,1,
Coulthard,1,,,,,,1,,,1,1,2,,,,1,,,,,,,,,,,,,,2,,1,2,2,,1,1,1,,
Brundle,,1,,,,,2,,,,,,,,1,,,,,,,,,,1,,,,1,,,2,,4,,1,1,1,,
Hill,,,1,1,,,,,,,,,,,,2,1,,,,,,,,,,,1,1,,,,1,1,1,,,1,,
Mansell,,,,,,,1,,,,1,,,,,2,2,,,,,,1,,,,,,,,,,,,,1,1,,1,
Comas,,,,,,,,1,,,,2,,,,,,1,,,,,1,,,,2,,,1,,,,,,1,2,1,2,
Lehto,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,1,,,,1,1,1,1,
Schumacher,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
Bernard,,,,,,,1,,,,,1,,,,,,,,1,,,1,,,,,1,1,,,2,,,2,2,,3,2,
Hakkinen,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,1,1,,,,,,,
Herbert,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,2,1,2,,2,1,
Salo,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Wend linger,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
Alesi,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,
Barrichello,,1,1,,,1,,1,,,1,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,1,,,
Berger,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,
Lamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Gachot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanardi,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
Alliot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Irvine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,
Lagorce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratzenberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verstappen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,
Morbidelli,,,1,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,
Panis,,1,,,,,,,,2,,,,,1,,,,,,,,,,,,,,1,,,1,1,,,,1,1,,
Dalmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beretta,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Frentzen,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,
Fittipaldi,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,2,
Gounon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
De Cesaris,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Martini,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,
Brabham,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,
Alboreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Total passed,,,,,,,,,,,,,,1,3,10,4,1,2,1,1,1,5,1,8,2,2,6,9,14,6,10,9,19,12,14,17,18,16,192
