_key,katayama,alesi,herbert,morbidelli,barrichello,montermini,gachot,moreno,inoue,martini,badoer,blundell,panis,diniz,boullion,lavaggi,papis,suzuki,frentzen,schiattarella,salo,schiatarella,wendlinger,verstappen,irvine,brundle,deletraz,hakkinen,lamy,berger,coulthard,hill,schumacher,irvinel,magnussen,mansell,schiattarell
salo,2,1,1,1,1,1,1,1,2,1,3,1,3,2,1,1,2,,,,,,,,,,,,,,,,,,,,
gachot,,,1,,,1,,2,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,
suzuki,2,,,,1,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,
morbidelli,1,,,,1,1,,2,2,,,2,,2,,,,,,1,2,1,1,1,,,,,,,,,,,,,
blundell,1,,2,,2,,,,1,,1,,1,1,,,,,1,,1,,,,1,1,1,1,1,,,,,,,,
schiattarella,,,,,,,,2,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,
badoer,,,,,,,1,2,2,,,1,,3,1,,,1,,,1,,,,,,1,1,,,,,,,,,
schumacher,,1,1,,1,,,,,,,1,1,,,,,,1,,,,,,1,1,,,,3,3,3,,,,,
hill,,,1,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,,2,2,,3,,,,
hakkinen,,1,1,,1,,,,,,2,1,,1,1,,,,1,,1,,,,2,,,,,,,,,,,,
irvine,,,2,,,,,,,,,1,,,,,,,2,,,,,,,1,,,,,,,,,,,
katayama,,,2,,,,,,1,3,,2,1,,1,,,,1,,1,,,,,,2,,1,1,,,,,,,
alesi,1,,3,,,,,,,,1,1,,,,,,,1,,2,,,,2,,,,1,2,,2,,,,,
berger,2,1,3,1,1,,,,,1,2,,,,1,,,2,2,,2,,,1,1,1,,,1,,,2,,1,,,
barrichello,1,,2,,,,,1,1,,3,,1,,,,,,3,,2,,,,1,,,1,2,1,,,,,1,,
panis,1,,2,1,2,1,1,,1,2,1,2,,,1,,,2,4,,2,1,1,,,,,,,,,,,,,1,
inoue,,,,,,,,2,,1,1,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
herbert,1,,,,1,,,,,,2,,,,,,,1,3,,,,,,2,,,1,2,2,,1,,1,,,1
verstappen,2,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
coulthard,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,1,,1,,,1,,,,
moreno,,,,,,2,,,1,,,,,6,,,,,,,,,,,,,1,,,,,,,,,,
diniz,,,,,,1,,3,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,
mansell,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
wendlinger,,,,,,1,1,2,2,1,1,,,2,,,,1,,,,,,,,,,,2,,,,,,,,
montermini,,,,,,,1,2,1,,1,1,,4,,,1,,,,,,,,,,1,1,,,,,,,,,
martini,1,,1,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
brundle,,1,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,1,,,,,,,
boullion,1,,,,,,,,2,1,4,,,1,,1,2,,,,1,,,,1,,,,,,,,,,,,
frentzen,,,3,,2,,,,,,2,3,,,1,,,,,,,,,,1,1,,1,1,,,,,1,,,
papis,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,
lamy,2,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,
deletraz,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
tarquini,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
magnussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
