_key,bourdais,fisichella,buemi,piquet,glock,rosberg,alguersuari,grosjean,barrichello,kubica,alonso,webber,trulli,raikkonen,heidfeld,kovalainen,vettel,liuzzi,kobayashi,hamilton,massa,nakajima,sutil,badoer,button,davidson,sato
hamilton,1,2,1,2,1,2,1,1,1,1,1,2,3,4,1,1,,,,,,,,,,,
trulli,1,,1,,,2,,,1,,1,,,,,,,,,,,,,,,,
alonso,1,1,1,2,2,2,,,,,,2,2,1,1,1,1,1,1,1,1,2,1,,,,
glock,2,1,,2,,1,,,,1,,2,2,2,5,,,,,1,1,1,,,,,
rosberg,,,,,,,1,,,,,,1,1,,,1,,,,1,,1,,,,
barrichello,1,,1,2,1,3,,,,,1,1,2,1,,1,,,,1,,1,,1,,,
buemi,1,2,,,,1,,1,,,,,2,2,1,,,,,1,,,,,,,
sutil,1,3,,2,,2,,2,,3,,,1,,2,,,1,,2,,1,,1,,,
heidfeld,1,2,1,,,1,1,1,,1,,1,,,,,,,,,,,,,,,
kubica,,3,,1,,3,,,,,,,,,2,1,1,,,1,,,2,,,,
nakajima,1,,,,2,,,,,,,,2,,,,,,,,,,,,,,
raikkonen,1,2,,,1,,1,,,,1,,1,,1,,,,,1,,,1,,,,
kovalainen,,1,,,,,1,1,2,,,1,1,,1,,1,,,1,,,2,,1,,
alguersuari,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
button,,,2,,1,,,1,1,1,,1,,1,1,,,,1,1,2,2,,,,,
fisichella,,,1,1,1,,,2,,1,2,,,,3,,,1,,,,1,,,1,,
liuzzi,,,,,,,,,,,,,,,,,,,,,,2,,,,,
kobayashi,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,
vettel,,,,,,1,1,1,1,,,,,1,1,,,,,1,1,1,,,1,,
webber,,1,,,,1,,,,,2,,,,2,1,,,,2,1,,,,2,,
piquet,,1,,,,,,,,1,,,,,,,,,,1,1,,1,,,,
massa,,1,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,
sato,,,,,,,,,,,,,,,,,,,,,,,,,,1,
coulard,,,,,,,,,,,,,,,,,,,,,,,,,,,1
bourdais,,,,,,,,,,,,,1,1,2,,,,,,,1,,,,,
