Driver,Kubica,Sutil,De La Rosa,Hulkenberg,Glock,Webber,Hamilton,Liuzzi,Barrichello,Alonso,Schumacher,Di Grassi,Button,Petrov,Alguersuari,Kovalainen,Chandhok,Trulli,Buemi,Massa,Vettel,Kobayashi,Rosberg,Senna,Heidfeld,Yamamoto,Klien
Kubica,,2,1,1,1,,,,,,,1,,1,1,2,,1,2,1,,1,,,,,
Sutil,,,1,1,5,,,1,1,,4,4,1,1,2,6,,3,2,,1,5,1,2,4,2,
De La Rosa,,1,,4,2,,,1,,1,,2,,1,2,1,1,1,,,,1,,1,,1,
Hulkenberg,1,,,,3,,,,1,,,2,,2,1,4,2,4,,,,,,5,,,
Glock,,,,,,,,,,,1,1,,,,1,4,1,,,,,,4,,2,
Webber,1,1,,1,1,,1,,1,1,2,,1,,1,2,,1,1,4,,1,2,,,,
Hamilton,1,1,,,,4,,,3,1,2,,2,4,1,3,,1,1,2,1,4,1,1,,,
Liuzzi,,1,2,1,3,,,,1,,1,1,,,3,1,1,3,3,,1,1,1,,,,
Barrichello,,,1,2,2,,,,,,1,3,,2,2,7,1,5,1,1,,,1,3,,,
Alonso,,1,3,2,3,,1,3,1,,1,3,1,4,1,5,2,2,2,1,1,,,1,,2,
Schumacher,1,,1,,3,1,,,1,,,3,3,,2,4,2,1,,,,,1,2,,1,
Di Grassi,,,,,1,,,,,,,,,,,,4,,,,,,,1,,2,
Button,2,1,,,,,1,1,,2,,,,1,,2,,,,1,1,1,1,,,,
Petrov,,1,,1,4,1,1,,,,2,3,,,1,3,1,3,,,,1,1,1,1,2,
Alguersuari,,2,2,2,6,,,1,,,1,6,,3,,6,,3,1,,,1,1,1,,3,1
Kovalainen,,,,,2,,1,,,,,3,,,,,,1,,1,,,,3,,,
Chandhok,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
Trulli,,,,,,,,,,,,,,,,,2,,,1,,,,2,,2,
Buemi,,,,2,3,,,,1,,1,4,,1,2,1,2,4,,,,2,,,1,2,
Massa,,2,1,,3,1,,2,2,,1,2,1,3,2,6,2,5,1,,,,,1,1,1,
Vettel,1,3,1,1,1,1,,2,1,,3,,,,2,2,1,4,1,1,,,,1,,,
Kobayashi,,1,,,,,,1,1,1,2,1,,,4,,,2,2,,,,,,1,3,
Rosberg,,,,3,2,,1,,1,,1,1,,,3,2,1,1,,,,2,,1,,,
Senna,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Heidfeld,,1,,,2,,,,,,,1,,,,1,,,1,,,1,,1,,1,1
Yamamoto,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klien,,,,,,,,,,,,,,,,,,,,,,,,,,,
