driver,kobayashi,rosberg,massa,heidfeld,button,schumacher,perez,petrov,webber,hamilton,vettel,sutil,barrichello,diresta,glock,d'ambrosio,trulli,maldonado,kovalainen,liuzzi,karikeyan,buemi,alguersuari,senna,ricciardo,delarosa,alonso,chandhok
alonso,3,5,4,3,2,2,2,2,4,3,1,1,1,1,,,,,,,,,,,,,,
barrichello,2,2,,2,,2,3,2,1,,,,,,6,2,7,4,10,3,4,1,2,2,1,,,
maldonado,1,2,,1,,,4,3,,,,3,6,1,6,5,5,,8,3,3,,4,5,2,,,
buemi,5,,,1,,4,3,3,,1,,3,4,9,6,3,4,6,7,2,,,6,1,1,1,,
alguersuari,3,3,,2,,1,5,3,1,,,3,4,2,3,5,6,6,8,3,1,5,,3,1,,,
glock,,,,1,,,,,,,,,,,,3,,,,5,1,,,,,,,
webber,6,5,6,1,6,5,3,5,,4,,5,3,2,1,1,2,2,2,,,2,2,,1,,8,
vettel,2,4,4,1,4,,,3,1,1,,2,,,,,,,,,,,,,,,3,
diresta,3,2,,2,,,3,3,,,,1,1,,4,5,2,4,9,2,2,6,6,1,2,1,,1
button,2,6,8,2,,4,1,4,4,4,1,5,2,3,1,3,3,3,,2,2,5,1,,1,2,5,
massa,6,10,,3,1,6,4,3,2,3,1,2,2,3,,1,1,7,4,,,2,6,,,,,
trulli,,,,,,,1,,,,,,,,8,4,,1,1,5,,,,2,2,1,,
kobayashi,,1,2,1,,4,3,3,3,,,4,3,5,4,3,5,6,3,2,1,4,4,2,2,,,
sutil,4,3,,2,,2,5,1,,,,,2,2,5,4,3,4,4,3,3,1,3,1,,,,
hamilton,5,8,8,1,7,6,3,4,3,,1,3,2,3,,,1,1,1,,,5,2,,,,3,
heidfeld,4,,,,,,2,4,,1,,2,2,1,2,1,3,3,4,1,,2,3,,1,,,1
perez,1,2,,2,,,,5,1,,,1,4,4,4,6,5,8,7,6,2,3,3,2,4,,,
rosberg,5,,4,1,2,,1,4,,,,2,4,3,,3,2,2,1,,,2,9,,,,1,
schumacher,4,2,3,3,1,,6,9,1,2,,2,1,5,,4,6,4,5,2,2,,7,3,1,,,
petrov,9,1,,1,1,,4,,,,,2,2,5,,2,2,1,5,,1,2,2,,1,,1,
d'ambrosio,,,,,,,,,,,,,,,1,,,,,5,2,,,,2,,,
kovalainen,1,,,1,,,,,,,,,,,3,6,2,1,,1,,,,1,,,,
liuzzi,,,,,,,1,,,,,,,,1,2,,,,,4,,,,,,,
delarosa,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,
karikeyan,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,
ricciardo,,,,,,,,,,,,,,,,4,,,,1,1,,,,,,,
senna,2,,,,,,,1,,,,1,1,,5,3,1,2,4,3,,2,,,1,,,
