Driver,Maldonado,Alonso,Di Resta,Petrov,Vergne,Perez,Kovalainen,Kobayashi,Raikkonen,Senna,Ricciardo,Vettel,Massa,Rosberg,Webber,Hamilton,Schumacher,Grosjean,Button,Hulkenberg,MaldoLanado,Pic,Glock,De La Rosa,D'Ambrosio,Karthikeyan
Maldonado,,1,2,5,2,1,4,1,3,3,2,,1,1,1,,2,3,2,2,,3,3,1,1,1
Alonso,5,,2,2,3,5,1,2,3,2,1,1,1,1,4,2,2,1,1,2,,1,1,1,,2
Di Resta,3,1,,4,3,3,4,,3,1,3,,1,2,1,,3,1,,1,,1,5,4,1,2
Petrov,1,,,,,,7,,,,1,,1,1,,,,,,,,8,7,8,,4
Vergne,2,,5,6,,2,9,,,4,8,,2,3,,,1,,,,,8,7,5,,5
Perez,3,3,3,2,5,,2,6,4,3,2,,3,3,,1,2,3,1,1,,5,3,3,,2
Kovalainen,,,,3,,1,,,,1,2,,,2,,,,,,,,7,8,14,,6
Kobayashi,1,1,3,2,2,3,6,,4,3,5,1,2,2,1,,3,1,3,2,,6,4,8,1,5
Raikkonen,2,1,2,2,1,3,4,2,,1,3,,4,3,2,2,7,,2,3,,2,,,1,1
Senna,1,,3,2,1,1,6,2,1,,4,,1,2,,,2,2,1,2,,6,4,4,,4
Ricciardo,3,,4,4,6,2,5,2,2,8,,,2,5,,,3,1,,,,3,5,3,,4
Vettel,,1,3,4,4,3,5,4,3,4,6,,3,6,4,2,2,1,4,1,,3,4,3,,3
Massa,2,,5,6,4,2,3,2,5,4,5,1,,3,2,1,3,,1,1,,4,4,4,,3
Rosberg,2,2,5,4,3,4,3,5,4,3,3,,2,,,1,,,2,,,2,,3,1,3
Webber,2,1,5,7,3,3,4,4,2,2,7,2,3,5,,,1,1,1,3,,5,5,3,1,4
Hamilton,2,4,3,2,2,3,3,1,4,4,4,3,2,3,2,,2,,4,2,,,1,1,,2
Schumacher,,,4,6,3,1,3,4,3,1,6,,,1,2,1,,,1,5,,3,5,2,1,2
Grosjean,3,1,2,4,,2,7,1,2,3,2,,,5,1,3,1,,2,1,,8,5,2,,3
Button,5,2,2,1,2,3,1,1,2,5,1,2,3,4,,2,4,3,,2,,,2,,,
Hulkenberg,3,,2,4,2,2,6,2,2,3,3,,1,2,2,1,4,1,2,,,4,2,2,1,2
MaldoLanado,,,,,,,,,,,,,,,,,,,,,,,,,,1
Pic,,,,,,,2,,,,,,,,,,,,,,,,2,5,,5
Glock,,,,3,,,1,,,,,,,,,,,,,,,2,,4,,2
De La Rosa,,,,,,,1,,,,,,,,,,,,,,,1,1,,,3
D'Ambrosio,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Karthikeyan,,,,,,,,,,,,,,,,,,,,,,1,,,,
