Driver,Gutierrez,Bianchi,Van Der Garde,Pic,Vergne,Maldonado,Perez,Ricciardo,Button,Webber,Grosjean,Vettel,Massa,Raikkonen,Alonso,Bottas,Chilton,Hamilton,Rosberg,Hulkenberg,Sutil,Di Resta,Kovalainen
Gutierrez,,4,5,2,7,5,,2,,,,,,,1,6,4,2,,,1,,2
Bianchi,,,2,2,,1,,,,,,,,,,,2,,,,,,
Van Der Garde,,5,,1,,,,,,,,,,,,3,5,,,,,,
Pic,1,4,6,,,,,1,,,,,,,,1,11,,,,,,
Vergne,3,5,9,4,,3,,2,1,,1,,,1,,9,9,,,1,1,1,
Maldonado,1,4,4,3,3,,,2,1,,1,,1,,,5,5,1,,,1,1,1
Perez,5,1,,,4,6,,1,4,1,2,1,2,3,1,5,,2,2,2,3,2,1
Ricciardo,2,2,3,1,5,6,5,,,,2,,1,,,6,2,1,,3,2,3,
Button,5,1,1,3,4,7,2,4,,,2,,5,1,1,4,4,3,4,2,2,1,
Webber,5,,1,3,2,4,6,5,6,,3,,,2,5,5,3,5,4,4,3,3,
Grosjean,4,,1,2,1,3,5,4,6,1,,1,2,2,,1,1,3,3,2,4,1,
Vettel,1,1,,,,1,4,1,6,1,4,,2,1,,2,1,3,4,2,2,1,
Massa,5,2,3,2,3,8,8,5,4,1,5,,,3,,8,2,4,4,5,2,2,
Raikkonen,5,1,2,1,1,2,8,5,5,,4,1,1,,1,5,3,5,2,5,3,5,
Alonso,4,1,,,4,2,4,4,8,2,3,2,1,3,,3,1,6,8,5,4,3,
Bottas,4,4,9,3,3,2,,4,2,,,,1,,,,4,,,,,,
Chilton,,1,4,2,,,,,,,,,,,,,,,,,,,
Hamilton,3,,2,,2,2,5,6,8,6,3,,,3,,3,2,,6,4,5,3,
Rosberg,3,,,1,2,3,3,4,6,1,1,,2,1,1,4,1,3,,3,3,2,
Hulkenberg,2,2,1,1,3,4,3,5,2,,2,1,2,,1,9,2,2,3,,5,3,
Sutil,8,3,4,4,3,1,2,1,2,,1,1,2,,1,8,4,1,,2,,1,1
Di Resta,3,4,2,,2,7,1,1,4,,2,,1,,,4,4,3,1,2,3,,3
Kovalainen,,1,1,1,1,1,,,,,,,,,,1,,,,,,1,
