Driver,Vettel,Ricciardo,Rosberg,Hamilton,Alonso,Raikkonen,Grosjean,Maldonaldo,Button,Magnussen,Hulkenberg,Perez,Sutil,Gutierrez,Vergne,Kvyat,Massa,Bottas,Bianchi,Chilton,Kobayashi,Ericsson,Stevens
Vettel,,1,1,,4,5,3,3,5,7,2,2,2,3,4,4,2,4,1,1,2,,
Riccianlo,3,,1,1,5,4,3,3,6,5,7,4,3,2,3,3,1,2,2,1,1,2,
Rosberg,1,,,1,2,4,2,2,3,,2,3,2,2,2,2,2,3,,,1,1,
Ha1nilton,2,2,4,,2,2,4,2,2,2,3,3,1,2,2,1,2,1,1,3,1,2,
Alonso,5,3,1,,,4,3,2,5,5,5,1,3,1,2,3,,2,1,,2,,1
Raikkonen,,,,,1,,4,4,2,2,1,2,2,5,6,4,,2,2,1,4,3,1
Grosjean,1,,1,,,1,,2,2,2,,,3,5,,,,,4,7,7,8,2
Maldonaldo,,,,,,1,4,,1,,,,3,9,1,2,,,5,3,5,2,1
Button,,2,1,,5,3,4,1,,3,1,4,2,3,2,4,1,2,1,2,3,1,
Magnussen,,,1,,,,5,7,,,1,,2,5,2,2,1,3,3,4,6,5,
Hulkenberg,1,,2,,4,4,,3,1,3,,1,1,3,2,4,1,3,2,2,,2,
Perez,,,,,3,4,4,5,4,3,3,,2,4,2,3,3,2,4,2,1,3,
Sutil,,,,,,,4,1,,,,,,4,,1,,,4,4,4,4,1
Gutierrez,,,,,,,2,1,,,,,2,,,1,1,,2,3,3,3,1
Vergne,1,,1,,,3,4,,3,1,1,,5,5,,,,1,6,1,3,4,
Kvyat,,1,1,,,2,2,6,2,1,1,3,4,9,5,,1,,6,5,7,4,1
Massa,,1,1,,1,1,2,2,1,3,4,1,2,4,2,6,,1,1,2,2,3,
Bottas,4,3,3,1,2,6,3,3,3,6,3,4,2,4,2,4,,,,1,1,1,
Bianchi,,,,,,,,,,,,,,,,,,,,2,3,1,
Chilton,,,,,,,1,1,,,,,,,,,,,,,1,3,
Kobayashi,,,,,,,,,,,,,,,,,,,2,3,,4,
Ericsson,,,,,,,,,,,,,1,,1,,,,1,3,2,,
Stevens,,,,,,,,,,,,,,,,,,,,,,,
