Driver,Nasr,Ricciardo,Ericsson,Raikkonen,Perez,Grosjean,Bottas,Verstappen,Button,Hamilton,Massa,Rosberg,Kvyat,Maldonado,Alonso,Sainz,Vettel,Stevens,Hulkenberg,Merhi,Rossi
Nasr,,1,2,,2,1,,,6,,2,,1,1,5,3,,5,2,5,4
Ricciardo,2,,7,1,3,1,1,1,3,2,1,1,2,,4,4,1,2,3,1,3
Ericsson,1,1,,,1,,,1,2,,1,,,2,5,3,,2,1,3,2
Raikkonen,3,1,6,,4,2,,2,4,,1,1,,2,3,4,,,2,1,1
Perez,4,3,2,,,3,,2,5,,1,,2,1,4,2,1,1,,,1
Grosjean,6,1,1,,4,,3,2,4,,1,,4,3,2,3,,1,3,1,
Bottas,2,2,1,1,2,1,,3,1,2,1,,2,4,,2,,1,2,1,
Verstappen,7,4,3,,3,1,2,,3,,,,3,3,6,2,1,5,3,4,2
Button,,1,1,,3,1,,,,,,,,2,,1,,4,,3,1
Hamilton,1,2,1,3,2,2,1,,1,,2,,1,1,,1,1,,1,,
Massa,3,2,3,,2,1,,2,4,,,,4,3,4,4,,2,1,1,1
Rosberg,,3,1,3,2,1,2,1,1,1,2,,1,,,1,4,,1,,
Kvyat,1,2,4,1,3,,1,2,3,,3,,,3,3,2,,4,1,1,1
Maldonado,4,3,4,,,1,,2,7,,,,4,,3,3,,2,,3,1
Alonso,1,,1,,2,,1,,1,,,,,3,,1,,3,,3,
Sainz,2,3,2,1,2,1,,2,8,,,,,4,5,,,7,3,4,1
Vettel,2,3,2,2,3,,1,3,3,1,,1,3,2,2,3,,2,1,1,1
Stevens,,,,,,,,,,,,,,,,,,,,5,2
Hulkenberg,1,,3,,1,,,,2,,,,1,1,1,2,,2,,2,
Merhi,,,,,,,,,,,,,,,,,,3,,,
Rossi,1,,,,,,1,,,,,,,,,,,1,,,
