Driver,Rosberg,Hamilton,Vettel,Raikkonen,Massa,Bottas,Ricciardo,Kvyat,Perez,Hulkenberg,Magnussen,Palmer,Verstappen,Sainz,Ericsson,,Nasr,Alonso,Button,Harvanto,Wehrlein,Grosjean,Gutierrez,Vandoorne,Ocon
Rosberg,,,,2,,1,1,,2,3,,2,3,2,3,,3,2,2,1,1,1,1,,1
Hamilton,,,,2,5,6,5,2,1,5,1,1,2,,2,,,3,2,1,1,2,2,,1
Vettel,,1,,2,3,3,4,4,2,3,2,3,5,5,2,,3,3,3,1,3,1,3,,2
Raikkonen,,2,,,4,3,4,2,6,3,1,3,,2,3,,2,3,4,1,1,3,4,,1
Massa,,,,,,2,,2,1,,2,2,1,3,7,,7,2,3,3,5,4,7,1,1
Bottas,,,,1,5,,1,2,2,3,,5,2,2,3,,4,2,2,2,8,4,4,,1
Ricciardo,,1,,1,6,6,,4,5,6,3,3,,4,7,,6,3,6,2,3,4,2,,3
Kvyat,,,,,2,2,,,2,,4,1,1,,3,,3,2,1,1,8,,7,1,3
Perez,,,,1,3,1,2,7,,1,3,5,1,5,4,,2,7,3,6,4,5,6,,
Hulkenberg,1,,,,1,2,,,2,,4,4,,3,5,,6,2,4,4,2,3,4,,1
Magnussen,,,,,2,,1,,2,2,,6,,,4,,4,,,4,8,,1,,2
Palmer,,,,,,,,,,,1,,,,3,,3,,1,1,,,2,,
Verstappen,2,,2,3,4,4,2,5,9,6,5,5,,3,7,,5,5,6,2,7,6,7,,4
Sainz,,,,,3,3,,1,2,1,4,6,,,7,,2,3,5,4,3,1,4,,3
Ericsson,,,,,1,,,2,1,2,3,7,,,,,5,,,5,5,1,1,,3
Nasr,,,,,1,2,,,2,1,2,1,,,5,,,,1,3,5,,2,,4
Alonso,,,,,2,2,,3,2,1,6,5,,6,7,,3,,1,2,5,6,5,,4
Button,,,,1,1,1,,2,1,,3,6,,2,4,,7,1,,3,5,1,8,,3
Haryanto,,,,,,,,,,,1,2,,,2,,,,,,,,,,
Wehrlein,,,,,,,,,2,2,,2,,1,2,,6,,,3,,,,,3
Grosjean,,,,,3,1,2,6,,1,3,8,,3,4,,7,,,5,6,,3,,2
Gutierrez,,,,1,1,,,4,,,8,6,,1,10,,3,1,,3,4,3,,,3
Vandoorne,,,,,,,,,2,1,,,,,1,,2,,,,1,,,,
Ocon,,,,,,,,,,,,,,,,,,,,,2,,,,
