Driver,Hamilton,Bottas,Ricciardo,Verstappen,Vettel,Raikkonen,Perez,Ocon,Stroll,Massa,Vandoorne,Alonso,Kvyat,Sainz,Grosjean,Magnussen,Palmer,Hulkenber,Ericsson,Wehrlein,Di Resta,Gasly,Hartley
Hamilton,,1,1,2,2,1,2,1,1,2,1,3,,3,2,1,,1,2,2,,2,1
Bottas,,,1,,1,1,1,4,2,2,1,2,1,2,1,2,,1,1,,,,
Ricciardo,,2,,,,1,3,2,5,3,1,4,2,4,2,5,,4,4,3,,1,1
Verstappen,1,2,1,,,1,2,2,,1,,2,2,2,3,1,,2,,,,,
Vettel,,2,2,,,3,4,3,3,1,2,4,1,1,2,4,,3,,1,,1,1
Raikkonen,,2,1,,,,2,3,,3,1,1,,1,2,1,1,3,,,,1,
Perez,,,,,,1,,1,1,1,2,3,4,3,1,2,3,1,3,1,,,
Ocon,,1,,,,1,,,1,4,4,4,2,2,1,2,2,,4,4,,,
Stroll,,,,,,,,,,,4,2,1,1,4,,3,,5,3,1,,2
Massa,,,1,,,1,1,,,,2,2,1,1,2,2,1,,1,3,,,
Vandoorne,,,,,,,,,4,,,,,2,1,1,2,,6,3,,,1
Alonso,,,,,,,,,1,2,3,,2,1,1,2,4,1,5,2,,,
Kvyat,,,,,,,,,1,,1,1,,,1,2,3,1,3,,,,
Sainz,,,,,,,1,1,2,,1,3,1,,,,4,,3,3,,1,
Grosjean,,,,,,,,,2,2,2,2,2,,,3,3,1,7,6,,2,
Magnussen,,,,,,,1,2,1,3,2,,2,1,,,1,1,5,4,,,1
Palmer,,1,,,,,,,1,,,2,1,1,,1,,,4,4,,,
Hulkenberg,,,,,,,,,2,1,2,2,,2,1,2,1,,2,5,,2,
Ericsson,,,,,,,,,3,,2,1,,,,,,,,5,,,
Wehrlein,,,,,,,,,,,,,,,1,1,1,,7,,,,
Di  Resta,,,,,,,,,,,,,,,,,,,,,,,
Gasly,,,,,,,,,1,,,,,,2,,,,1,2,,,
Hartley,,,,,,,,,,,,,,,2,,,,2,1,,,
