Driver,Hamilton,Bottas,Ricciardo,Verstappen,Vettel,Raikkonen,Perez,Ocon,Stroll,Sirotkin,Vandoorne,Alonso,Gasly,Hartley,Grosjean,Magnussen,Hulkenberg,Sainz,Ericsson,Leclerc,,
Hamilton,,1,,2,1,3,1,3,,1,1,3,2,,3,3,3,2,1,3,,
Bottas,,,,,,3,2,2,3,2,3,,2,2,2,3,1,1,2,2,,
Ricciardo,1,4,,1,3,3,2,3,3,3,3,3,5,3,4,2,4,4,3,4,,
Verstappen,4,2,1,,2,3,4,7,1,,,,,1,2,1,2,4,2,1,,
Vettel,3,4,2,,,,6,4,4,6,4,1,2,3,4,6,5,4,3,5,,
Raikkonen,1,2,2,2,3,,1,2,1,,1,,3,,1,3,1,4,,3,,
Perez,,,,1,1,,,1,11,9,4,1,6,3,4,4,1,4,9,5,,
Ocon,,,,2,,,2,,5,11,2,1,4,3,4,,1,3,4,3,,
Stroll,,,,,,,,,,2,1,,2,2,,,1,,2,1,,
Sirotkin,,,,,,,,,,,2,,1,1,,1,,,4,1,,
Vandoorne,,,,,,,1,,4,5,,3,4,2,4,,,1,5,2,,
Alonso,,,,,1,,,2,5,7,3,,3,4,1,4,,,1,4,,
Gasly,,,,,,,1,1,4,6,2,,,4,,1,1,,2,3,,
Hartley,,,,,,,,,4,4,,1,2,,,,,,4,2,,
Grosjean,,,,,,,2,2,4,9,3,2,2,5,,1,1,3,2,4,,
Magnussen,,,,,,,3,3,2,2,1,2,1,2,,,,2,2,1,,
Hulkenberg,,,1,1,1,,2,3,3,3,2,1,4,1,4,3,,2,5,4,,
Sainz,,,1,1,,,,1,5,8,2,1,3,6,3,2,2,,9,4,,
Ericsson,,,,,,,1,1,1,8,2,,4,3,2,1,,2,,2,,
Leclerc,,,,,,,1,1,8,3,3,4,5,6,1,3,1,2,2,,,
