Driver,Hamilton,Bottas,Gasly,Verstappen,Vettel,Leclerc,Perez,Stroll,Russell,Kubica,Norris,Sainz,Albon,Kvyat,Grosjean,Magnussen,Hulkenberg,Ricciardo,Raikkonen,Giovinazzi
Hamilton,,1,1,1,2,2,,,1,1,,1,2,,,,2,3,,1
Bottas,2,,,1,,3,2,2,1,1,2,2,2,1,,3,2,4,1,3
Gasly,,,,,1,,1,2,3,3,1,,4,2,6,6,4,3,5,3
Verstappen,2,2,5,,2,3,3,2,2,2,5,2,1,1,1,2,2,3,3,3
Vettel,2,1,4,,,2,1,3,3,2,4,3,3,1,1,1,2,4,2,2
Leclerc,,1,5,4,2,,2,3,1,1,2,1,,2,3,3,3,4,2,2
Perez,,,3,,,,,1,3,2,2,,2,4,6,9,2,2,2,3
Stroll,,,,,,,1,,7,4,,1,,6,4,10,,4,2,5
Russell,,,,,,,,,,9,,,,3,,,,,,
Kubica,,,,,,,,,2,,,,,,,1,,,,
Norris,,,3,,,,4,,5,4,,1,3,3,5,4,1,3,3,3
Sainz,,,1,,,,2,3,2,6,1,,,3,6,5,4,4,2,3
Albon,,,5,,1,,3,4,7,4,2,3,,5,5,10,4,5,2,9
Kvyat,,,5,,,,,3,9,9,2,1,3,,9,10,4,1,6,5
Grosjean,,,1,,,,,,5,7,,,1,1,,4,,2,,2
Magnussen,,,,,,,,,8,7,,,,2,6,,4,1,1,1
Hulkenberg,,,1,,,,4,4,4,4,1,2,1,3,4,9,,3,6,2
Ricciardo,,,3,,1,,4,5,4,4,1,1,1,3,3,7,6,,4,7
Raikkonen,,,1,,,,1,1,10,11,1,,3,1,8,10,2,2,,6
Giovinazzi,,,1,,,,,1,8,5,,,2,1,6,7,2,2,,
