Driver,Hamilton,Bottas,Albon,Verstappen,Vettel,Leclerc,Perez,Stroll,Russell,Latifi,Norris,Sainz,Gasly,Kvyat,Grosjean,Magnussen,Ricciardo,Ocon,Raikkonen,Giovinazzi,Hulkenberg,Fittipaldi,Aitken
Hamilton,,3,2,,1,2,2,,1,1,1,1,,1,1,,,1,1,,,,
Bottas,,,,1,,2,,1,2,1,,2,,1,2,2,2,2,3,,,,
Albon,1,1,,,6,3,3,3,2,4,5,2,4,2,4,4,1,3,2,4,1,,
Verstappen,,2,1,,,,1,1,,,1,1,,1,,,,,,,,,
Vettel,,,1,,,2,1,2,3,5,,,,1,6,2,,,6,2,,,
Leclerc,,,1,1,2,,1,1,2,1,4,1,1,,4,4,1,1,3,1,1,1,
Perez,,,2,,2,3,,2,2,5,2,2,2,3,3,6,1,2,4,4,,2,1
Stroll,,,1,1,1,2,,,,,1,,1,1,2,2,3,,2,1,,,
Russell,,1,,,1,,,1,,3,2,,1,,3,3,,1,5,4,,,
Latifi,,,,,,,,,,,,,,,,6,,,3,1,,,
Norris,,1,,,1,2,2,3,5,2,,1,3,1,3,1,2,1,2,1,,1,
Sainz,,2,2,,2,3,2,2,,,2,,3,,2,1,4,3,4,1,,,
Gasly,,1,2,,5,4,3,4,3,2,1,1,,2,3,2,2,2,6,3,,,
Kvyat,,1,1,,,2,2,,,2,,,1,,4,7,1,1,2,5,,,
Grosjean,,,,1,1,,,,1,1,,,,,,3,,,2,2,,,
Magnussen,,,,,,,,,,2,,,1,,2,,,,,2,,,
Ricciardo,,1,,,2,4,2,,,1,1,1,3,,2,4,,4,4,,,,
Ocon,,,3,,3,,1,3,3,2,1,,,1,2,3,,,2,2,,,
Raikkonen,,,,,1,1,,,4,5,,,1,,4,9,,,,4,,1,1
Giovinazzi,,,,,1,,,,2,1,,,1,1,2,4,,,,,,1,
Hulkenberg,,,,,,,,,,1,,,,,1,,,,1,,,,
Fittipaldi,,,,,,,,,,,,,,,,1,,,,,,,
Aitken,,,,,,,,,,,,,,,,,,,1,,,1,
