overtaker,overtaken,date
Wat,Tam,1981
Wat,Tam,1981
Wat,Tam,1981
Wat,Sur,1981
Wat,Sur,1981
Wat,Ros,1981
Wat,Ros,1981
Wat,Reu,1981
Wat,Reu,1981
Wat,Reu,1981
Wat,Reu,1981
Wat,Piq,1981
Wat,Piq,1981
Wat,Laf,1981
Wat,Gia,1981
Wat,Gia,1981
Wat,Gia,1981
Wat,Arn,1981
Wat,And,1981
Wat,And,1981
Wat,And,1981
Wat,Jar,1981
Wat,Man,1981
Wat,Dea,1981
Wat,Dea,1981
Wat,Dea,1981
Wat,Reb,1981
Wat,Pro,1981
Wat,Pro,1981
Wat,Pro,1981
Wat,Vil,1981
Wat,Vil,1981
Wat,Pat,1981
Wat,Pat,1981
Wat,Sal,1981
Wat,Bor,1981
Wat,Bor,1981
Wat,Pir,1981
Wat,Pir,1981
Wat,Alb,1981
Tam,Wat,1981
Tam,Sur,1981
Tam,Sur,1981
Tam,Ros,1981
Tam,Piq,1981
Tam,Piq,1981
Tam,Piq,1981
Tam,Jab,1981
Tam,Jab,1981
Tam,Gia,1981
Tam,Gia,1981
Tam,Che,1981
Tam,And,1981
Tam,And,1981
Tam,And,1981
Tam,And,1981
Tam,Jar,1981
Tam,Man,1981
Tam,Man,1981
Tam,Dea,1981
Tam,Dea,1981
Tam,Reb,1981
Tam,Reb,1981
Tam,Reb,1981
Tam,Vil,1981
Tam,Zun,1981
Tam,Dec,1981
Tam,Dec,1981
Tam,Dec,1981
Tam,Pat,1981
Tam,Bor,1981
Tam,Pir,1981
Tam,Pir,1981
Tam,Dal,1981
Sur,Wat,1981
Sur,Tam,1981
Sur,Tam,1981
Sur,Tam,1981
Sur,Tam,1981
Sur,Ser,1981
Sur,Ser,1981
Sur,Ros,1981
Sur,Ros,1981
Sur,Laf,1981
Sur,Jab,1981
Sur,Gia,1981
Sur,Jar,1981
Sur,Jar,1981
Sur,Man,1981
Sur,Dea,1981
Sur,Reb,1981
Sur,Pro,1981
Sur,Pat,1981
Sur,Pat,1981
Sur,Bor,1981
Sur,Bor,1981
Sur,Bor,1981
Sur,Dal,1981
Sur,Dal,1981
Ser,Sur,1981
Ser,Laf,1981
Ser,Reb,1981
Ser,Sto,1981
Ser,Sal,1981
Ros,Piq,1981
Ros,Gia,1981
Ros,Jar,1981
Ros,Man,1981
Ros,Dea,1981
Reu,Sur,1981
Reu,Sur,1981
Reu,Piq,1981
Reu,Piq,1981
Reu,Laf,1981
Reu,Laf,1981
Reu,Jon,1981
Reu,Che,1981
Reu,Arn,1981
Reu,Arn,1981
Reu,And,1981
Reu,And,1981
Reu,Man,1981
Reu,Vil,1981
Reu,Vil,1981
Reu,Dec,1981
Reu,Pat,1981
Reu,Bor,1981
Reu,Pir,1981
Reu,Pir,1981
Reu,Pir,1981
Reu,Pir,1981
Piq,Wat,1981
Piq,Wat,1981
Piq,Tam,1981
Piq,Ros,1981
Piq,Reu,1981
Piq,Reu,1981
Piq,Reu,1981
Piq,Reu,1981
Piq,Laf,1981
Piq,Laf,1981
Piq,Laf,1981
Piq,Jon,1981
Piq,Jon,1981
Piq,Gia,1981
Piq,Gia,1981
Piq,Arn,1981
Piq,Arn,1981
Piq,Man,1981
Piq,Pro,1981
Piq,Vil,1981
Piq,Pat,1981
Piq,Pir,1981
Piq,Pir,1981
Piq,Pir,1981
Piq,Pir,1981
Piq,Pir,1981
Piq,Pir,1981
Laf,Wat,1981
Laf,Wat,1981
Laf,Wat,1981
Laf,Wat,1981
Laf,Wat,1981
Laf,Ros,1981
Laf,Reu,1981
Laf,Reu,1981
Laf,Reu,1981
Laf,Reu,1981
Laf,Piq,1981
Laf,Piq,1981
Laf,Piq,1981
Laf,Jon,1981
Laf,Jon,1981
Laf,Gia,1981
Laf,Arn,1981
Laf,Arn,1981
Laf,And,1981
Laf,Jar,1981
Laf,Jar,1981
Laf,Dea,1981
Laf,Pro,1981
Laf,Vil,1981
Laf,Dec,1981
Laf,Pat,1981
Laf,Pir,1981
Laf,Pir,1981
Laf,Pir,1981
Laf,Pir,1981
Jon,Wat,1981
Jon,Ros,1981
Jon,Reu,1981
Jon,Reu,1981
Jon,Reu,1981
Jon,Piq,1981
Jon,Jab,1981
Jon,Gia,1981
Jon,Gia,1981
Jon,Arn,1981
Jon,Arn,1981
Jon,And,1981
Jon,Reb,1981
Jon,Pro,1981
Jon,Pro,1981
Jon,Vil,1981
Jon,Vil,1981
Jon,Pat,1981
Jon,Bor,1981
Jon,Pir,1981
Jon,Pir,1981
Jon,Pir,1981
Jab,Tam,1981
Jab,Ros,1981
Jab,Man,1981
Jab,Sal,1981
Gia,Wat,1981
Gia,Wat,1981
Gia,Ser,1981
Gia,Ser,1981
