index,pos,driver,gap,lap no
1,1,Valtteri,LEADER,1
1,2,Lewis,+0.368,1
1,3,Max,+1.395,1
1,4,Nico,+2.217,1
1,5,Lance,+2.625,1
1,6,Daniel,+2.933,1
1,7,Pierre,+3.200,1
1,8,Charles,+3.633,1
1,9,Lando,+3.661,1
1,10,Alexander,+3.731,1
1,11,Carlos,+4.335,1
1,12,Esteban,+4.550,1
1,13,Kevin,+4.960,1
1,14,Daniil,+5.627,1
1,15,Antonio,+5.791,1
1,16,Romain,+6.341,1
1,17,Nicholas,+6.425,1
1,18,George,+6.634,1
1,19,Kimi,+6.807,1
1,20,Sebastian,+9.703,1
2,1,Valtteri,LEADER,1
2,2,Lewis,+0.370,1
2,3,Max,+1.395,1
2,4,Nico,+2.217,1
2,5,Lance,+2.625,1
2,6,Daniel,+2.933,1
2,7,Pierre,+3.310,1
2,8,Charles,+4.032,1
2,9,Lando,+4.056,1
2,10,Alexander,+4.509,1
2,11,Carlos,+4.785,1
2,12,Esteban,+4.975,1
2,13,Kevin,+5.474,1
2,14,Daniil,+5.933,1
2,15,Antonio,+6.283,1
2,16,Romain,+6.609,1
2,17,Nicholas,+6.425,1
2,18,George,+6.634,1
2,19,Kimi,+6.807,1
2,20,Sebastian,+10.136,1
3,1,Valtteri,LEADER,1
3,2,Lewis,+0.370,1
3,3,Max,+1.424,1
3,4,Nico,+2.138,1
3,5,Lance,+2.559,1
3,6,Daniel,+2.842,1
3,7,Pierre,+3.290,1
3,8,Charles,+4.048,1
3,9,Lando,+4.082,1
3,10,Alexander,+4.509,1
3,11,Carlos,+4.785,1
3,12,Esteban,+4.975,1
3,13,Kevin,+5.474,1
3,14,Daniil,+5.933,1
3,15,Antonio,+6.283,1
3,16,Romain,+6.609,1
3,17,Nicholas,+7.142,1
3,18,George,+7.174,1
3,19,Kimi,+7.430,1
3,20,Sebastian,+10.136,1
4,1,Valtteri,LEADER,1
4,2,Lewis,+0.296,1
4,3,Max,+1.443,1
4,4,Nico,+2.049,1
4,5,Lance,+2.467,1
4,6,Daniel,+2.792,1
4,7,Pierre,+3.351,1
4,8,Charles,+4.048,1
4,9,Lando,+4.082,1
4,10,Alexander,+4.506,1
4,11,Carlos,+4.764,1
4,12,Esteban,+4.860,1
4,13,Kevin,+5.546,1
4,14,Daniil,+6.014,1
4,15,Antonio,+6.264,1
4,16,Romain,+6.611,1
4,17,Nicholas,+7.189,1
4,18,George,+7.240,1
4,19,Kimi,+7.315,1
4,20,Sebastian,+10.454,1
5,1,Valtteri,LEADER,1
5,2,Lewis,+0.465,1
5,3,Max,+1.389,1
5,4,Nico,+2.197,1
5,5,Lance,+2.708,1
5,6,Daniel,+3.148,1
5,7,Pierre,+3.788,1
5,8,Charles,+4.319,1
5,9,Lando,+4.465,1
5,10,Alexander,+4.849,1
5,11,Carlos,+4.701,1
5,12,Esteban,+4.758,1
5,13,Kevin,+5.543,1
5,14,Daniil,+6.051,1
5,15,Antonio,+6.377,1
5,16,Romain,+6.711,1
5,17,Nicholas,+7.174,1
5,18,George,+7.251,1
5,19,Kimi,+7.362,1
5,20,Sebastian,+10.454,1
6,1,Valtteri,LEADER,1
6,2,Lewis,+0.693,1
6,3,Max,+1.380,1
6,4,Nico,+2.181,1
6,5,Lance,+2.712,1
