index,pos,driver,gap,time remaining
1,1,George,- -,00:16:17
1,2,Nicholas,- -,00:16:17
1,3,Lewis,- -,00:16:17
1,4,Valtteri,- -,00:16:17
1,5,Max,- -,00:16:17
1,6,Carlos,- -,00:16:17
1,7,Sergio,- -,00:16:17
1,8,Charles,- -,00:16:17
1,9,Pierre,- -,00:16:17
1,10,Lance,- -,00:16:17
1,11,Alexander,- -,00:16:17
1,12,Daniel,- -,00:16:17
1,13,Esteban,- -,00:16:17
1,14,Sebastian,- -,00:16:17
1,15,Romain,- -,00:16:17
1,16,Kimi,- -,00:16:17
1,17,Lando,- -,00:16:17
1,18,Daniil,- -,00:16:17
1,19,Kevin,- -,00:16:17
1,20,Antonio,- -,00:16:17
2,1,George,- -,00:16:14
2,2,Nicholas,- -,00:16:14
2,3,Lewis,- -,00:16:14
2,4,Valtteri,- -,00:16:14
2,5,Max,- -,00:16:14
2,6,Carlos,- -,00:16:14
2,7,Sergio,- -,00:16:14
2,8,Charles,- -,00:16:14
2,9,Pierre,- -,00:16:14
2,10,Lance,- -,00:16:14
2,11,Alexander,- -,00:16:14
2,12,Daniel,- -,00:16:14
2,13,Esteban,- -,00:16:14
2,14,Sebastian,- -,00:16:14
2,15,Romain,- -,00:16:14
2,16,Kimi,- -,00:16:14
2,17,Lando,- -,00:16:14
2,18,Daniil,- -,00:16:14
2,19,Kevin,- -,00:16:14
2,20,Antonio,- -,00:16:14
3,1,George,- -,00:16:11
3,2,Nicholas,- -,00:16:11
3,3,Lewis,- -,00:16:11
3,4,Valtteri,- -,00:16:11
3,5,Max,- -,00:16:11
3,6,Carlos,- -,00:16:11
3,7,Sergio,- -,00:16:11
3,8,Charles,- -,00:16:11
3,9,Pierre,- -,00:16:11
3,10,Lance,- -,00:16:11
3,11,Alexander,- -,00:16:11
3,12,Daniel,- -,00:16:11
3,13,Esteban,- -,00:16:11
3,14,Sebastian,- -,00:16:11
3,15,Romain,- -,00:16:11
3,16,Kimi,- -,00:16:11
3,17,Lando,- -,00:16:11
3,18,Daniil,- -,00:16:11
3,19,Kevin,- -,00:16:11
3,20,Antonio,- -,00:16:11
4,1,George,- -,00:16:08
4,2,Nicholas,- -,00:16:08
4,3,Lewis,- -,00:16:08
4,4,Valtteri,- -,00:16:08
4,5,Max,- -,00:16:08
4,6,Carlos,- -,00:16:08
4,7,Sergio,- -,00:16:08
4,8,Charles,- -,00:16:08
4,9,Pierre,- -,00:16:08
4,10,Lance,- -,00:16:08
4,11,Alexander,- -,00:16:08
4,12,Daniel,- -,00:16:08
4,13,Esteban,- -,00:16:08
4,14,Sebastian,- -,00:16:08
4,15,Romain,- -,00:16:08
4,16,Kimi,- -,00:16:08
4,17,Lando,- -,00:16:08
4,18,Daniil,- -,00:16:08
4,19,Kevin,- -,00:16:08
4,20,Antonio,- -,00:16:08
5,1,George,- -,00:16:05
5,,Nicholas,- -,00:16:05
5,3,Lewis,- -,00:16:05
5,4,Valtteri,- -,00:16:05
5,5,Max,- -,00:16:05
5,6,Carlos,- -,00:16:05
5,7,Sergio,- -,00:16:05
5,8,Charles,- -,00:16:05
5,9,Pierre,- -,00:16:05
5,10,Lance,- -,00:16:05
5,11,Alexander,- -,00:16:05
5,12,Daniel,- -,00:16:05
5,13,Esteban,- -,00:16:05
5,14,Sebastian,- -,00:16:05
5,15,Romain,- -,00:16:05
5,16,Kimi,- -,00:16:05
5,17,Lando,- -,00:16:05
5,18,Daniil,- -,00:16:05
5,19,Kevin,- -,00:16:05
5,20,Antonio,- -,00:16:05
6,1,Nicholas,- -,00:16:01
6,2,George,- -,00:16:01
6,3,Lewis,- -,00:16:01
6,4,Valtteri,- -,00:16:01
6,5,Max,- -,00:16:01
6,6,Carlos,- -,00:16:01
6,7,Sergio,- -,00:16:01
6,8,Charles,- -,00:16:01
6,9,Pierre,- -,00:16:01
6,10,Lance,- -,00:16:01
6,11,Alexander,- -,00:16:01
6,12,Daniel,- -,00:16:01
6,13,Esteban,- -,00:16:01
6,14,Sebastian,- -,00:16:01
6,15,Romain,- -,00:16:01
6,16,Kimi,- -,00:16:01
6,17,Lando,- -,00:16:01
6,18,Daniil,- -,00:16:01
6,19,Kevin,- -,00:16:01
6,20,Antonio,- -,00:16:01
7,1,Nicholas,- -,00:15:58
7,2,George,- -,00:15:58
7,3,Lewis,- -,00:15:58
7,4,Valtteri,- -,00:15:58
7,5,Max,- -,00:15:58
7,6,Carlos,- -,00:15:58
7,7,Sergio,- -,00:15:58
7,8,Charles,- -,00:15:58
7,9,Pierre,- -,00:15:58
7,10,Lance,- -,00:15:58
7,11,Alexander,- -,00:15:58
7,12,Daniel,- -,00:15:58
7,13,Esteban,- -,00:15:58
7,14,Sebastian,- -,00:15:58
7,15,Romain,- -,00:15:58
7,16,Kimi,- -,00:15:58
7,17,Lando,- -,00:15:58
7,18,Daniil,- -,00:15:58
7,19,Kevin,- -,00:15:58
7,20,Antonio,- -,00:15:58
8,1,Nicholas,- -,00:15:55
8,2,George,- -,00:15:55
8,3,Lewis,- -,00:15:55
8,4,Valtteri,- -,00:15:55
8,5,Max,- -,00:15:55
8,6,Carlos,- -,00:15:55
8,7,Sergio,- -,00:15:55
8,8,Charles,- -,00:15:55
8,9,Pierre,- -,00:15:55
8,10,Lance,- -,00:15:55
8,11,Alexander,- -,00:15:55
8,12,Daniel,- -,00:15:55
8,13,Esteban,- -,00:15:55
8,14,Sebastian,- -,00:15:55
8,15,Romain,- -,00:15:55
8,16,Kimi,- -,00:15:55
8,17,Lando,- -,00:15:55
8,18,Daniil,- -,00:15:55
8,19,Kevin,- -,00:15:55
8,20,Antonio,- -,00:15:55
9,1,Nicholas,- -,00:15:52
9,2,George,- -,00:15:52
9,3,Lewis,- -,00:15:52
9,4,Valtteri,- -,00:15:52
9,5,Max,- -,00:15:52
9,6,Carlos,- -,00:15:52
9,7,Sergio,- -,00:15:52
9,8,Charles,- -,00:15:52
9,9,Pierre,- -,00:15:52
9,10,Lance,- -,00:15:52
