index,pos,driver,gap,lap no
1,1,Lewis,LEADER,1
1,2,Valtteri,- -,1
1,3,Max,- -,1
1,4,Sergio,- -,1
1,5,Lance,- -,1
1,6,Alexander,- -,1
1,7,Carlos,- -,1
1,8,Lando,- -,1
1,9,Charles,- -,1
1,10,Pierre,- -,1
1,11,Sebastian,- -,1
1,12,Daniil,- -,1
1,13,Daniel,- -,1
1,14,Kimi,- -,1
1,15,Esteban,- -,1
1,16,Kevin,- -,1
1,17,Romain,- -,1
1,18,George,- -,1
1,19,Nicholas,- -,1
1,20,Antonio,- -,1
2,1,Lewis,LEADER,1
2,2,Valtteri,- -,1
2,3,Max,- -,1
2,4,Sergio,- -,1
2,5,Lance,- -,1
2,6,Alexander,- -,1
2,7,Carlos,- -,1
2,8,Lando,- -,1
2,9,Charles,- -,1
2,10,Pierre,- -,1
2,11,Sebastian,- -,1
2,12,Daniil,- -,1
2,13,Daniel,- -,1
2,14,Kimi,- -,1
2,15,Esteban,- -,1
2,16,Kevin,- -,1
2,17,Romain,- -,1
2,18,George,- -,1
2,19,Nicholas,- -,1
2,20,Antonio,- -,1
3,1,Lewis,LEADER,1
3,2,Valtteri,- -,1
3,3,Max,- -,1
3,4,Sergio,- -,1
3,5,Lance,- -,1
3,6,Alexander,- -,1
3,7,Carlos,- -,1
3,8,Lando,- -,1
3,9,Charles,- -,1
3,10,Pierre,- -,1
3,11,Sebastian,- -,1
3,12,Daniil,- -,1
3,13,Daniel,- -,1
3,14,Kimi,- -,1
3,15,Esteban,- -,1
3,16,Kevin,- -,1
3,17,Romain,- -,1
3,18,George,- -,1
3,19,Nicholas,- -,1
3,20,Antonio,- -,1
4,1,Lewis,LEADER,1
4,2,Valtteri,- -,1
4,3,Max,- -,1
4,4,Sergio,- -,1
4,5,Lance,- -,1
4,6,Alexander,- -,1
4,7,Carlos,- -,1
4,8,Lando,- -,1
4,9,Charles,- -,1
4,10,Pierre,- -,1
4,11,Sebastian,- -,1
4,12,Daniil,- -,1
4,13,Daniel,- -,1
4,14,Kimi,- -,1
4,15,Esteban,- -,1
4,16,Kevin,- -,1
4,17,Romain,- -,1
4,18,George,- -,1
4,19,Nicholas,- -,1
4,20,Antonio,- -,1
5,1,Lewis,LEADER,1
5,2,Valtteri,- -,1
5,3,Max,- -,1
5,4,Sergio,- -,1
5,5,Lance,- -,1
5,6,Alexander,- -,1
5,7,Carlos,- -,1
5,8,Lando,- -,1
5,9,Charles,- -,1
5,10,Pierre,- -,1
5,11,Sebastian,- -,1
5,12,Daniil,- -,1
5,13,Daniel,- -,1
5,14,Kimi,- -,1
5,15,Esteban,- -,1
5,16,Kevin,- -,1
5,17,Romain,- -,1
5,18,George,- -,1
5,19,Nicholas,- -,1
5,20,Antonio,- -,1
6,1,Lewis,LEADER,1
6,2,Valtteri,- -,1
6,3,Max,- -,1
6,4,Sergio,- -,1
6,5,Lance,- -,1
6,6,Alexander,- -,1
6,7,Carlos,- -,1
6,8,Lando,- -,1
6,9,Charles,- -,1
6,10,Pierre,- -,1
6,11,Sebastian,- -,1
6,12,Daniil,- -,1
6,13,Daniel,- -,1
6,14,Kimi,- -,1
6,15,Esteban,- -,1
6,16,Kevin,- -,1
6,17,Romain,- -,1
6,18,George,- -,1
6,19,Nicholas,- -,1
6,20,Antonio,- -,1
7,1,Lewis,LEADER,1
7,2,Valtteri,- -,1
7,3,Max,- -,1
7,4,Sergio,- -,1
7,5,Lance,- -,1
7,6,Alexander,- -,1
7,7,Carlos,- -,1
7,8,Lando,- -,1
7,9,Charles,- -,1
7,10,Pierre,- -,1
7,11,Sebastian,- -,1
7,12,Daniil,- -,1
7,13,Daniel,- -,1
7,14,Kimi,- -,1
7,15,Esteban,- -,1
7,16,Kevin,- -,1
7,17,Romain,- -,1
7,18,George,- -,1
7,19,Nicholas,- -,1
7,20,Antonio,- -,1
8,1,Lewis,LEADER,1
8,2,Valtteri,- -,1
8,3,Max,- -,1
8,4,Sergio,- -,1
8,5,Lance,- -,1
8,6,Alexander,- -,1
8,7,Carlos,- -,1
8,8,Lando,- -,1
8,9,Charles,- -,1
8,10,Pierre,- -,1
8,11,Sebastian,- -,1
8,12,Daniil,- -,1
8,13,Daniel,- -,1
8,14,Kimi,- -,1
8,15,Esteban,- -,1
8,16,Kevin,- -,1
8,17,Romain,- -,1
8,18,George,- -,1
8,19,Nicholas,- -,1
8,20,Antonio,- -,1
9,1,Lewis,LEADER,1
9,2,Valtteri,- -,1
9,3,Max,- -,1
9,4,Sergio,- -,1
9,5,Lance,- -,1
9,6,Alexander,- -,1
9,7,Carlos,- -,1
9,8,Lando,- -,1
9,9,Charles,- -,1
9,10,Pierre,- -,1
9,11,Sebastian,- -,1
9,12,Daniil,- -,1
9,13,Daniel,- -,1
9,14,Kimi,- -,1
9,15,Esteban,- -,1
9,16,Kevin,- -,1
9,17,Romain,- -,1
9,18,George,- -,1
9,19,Nicholas,- -,1
9,20,Antonio,- -,1
10,1,Lewis,LEADER,1
10,2,Valtteri,- -,1
10,3,Max,- -,1
10,4,Sergio,- -,1
10,5,Lance,- -,1
10,6,Alexander,- -,1
10,7,Carlos,- -,1
10,8,Lando,- -,1
10,9,Charles,- -,1
10,10,Pierre,- -,1
10,11,Sebastian,- -,1
10,12,Daniil,- -,1
10,13,Daniel,- -,1
10,14,Kimi,- -,1
10,15,Esteban,- -,1
10,16,Kevin,- -,1
10,17,Romain,- -,1
10,18,George,- -,1
10,19,Nicholas,- -,1
10,20,Antonio,- -,1
11,1,Lewis,LEADER,1
11,2,Valtteri,- -,1
11,3,Max,- -,1
11,4,Sergio,- -,1
11,5,Lance,- -,1
11,6,Alexander,- -,1
11,7,Carlos,- -,1
11,8,Lando,- -,1
11,9,Charles,- -,1
11,10,Pierre,- -,1
11,11,Sebastian,- -,1
11,12,Daniil,- -,1
11,13,Daniel,- -,1
11,14,Kimi,- -,1
11,15,Esteban,- -,1
11,16,Kevin,- -,1
11,17,Romain,- -,1
11,18,George,- -,1
11,19,Nicholas,- -,1
11,20,Antonio,- -,1
12,1,Lewis,LEADER,1
12,2,Valtteri,- -,1
12,3,Max,- -,1
12,4,Sergio,- -,1
12,5,Lance,- -,1
12,6,Alexander,- -,1
12,7,Carlos,- -,1
12,8,Lando,- -,1
12,9,Charles,- -,1
12,10,Pierre,- -,1
12,11,Sebastian,- -,1
12,12,Daniil,- -,1
12,13,Daniel,- -,1
12,14,Kimi,- -,1
12,15,Esteban,- -,1
12,16,Kevin,- -,1
12,17,Romain,- -,1
12,18,George,- -,1
12,19,Nicholas,- -,1
12,20,Antonio,- -,1
13,1,Lewis,LEADER,1
13,2,Valtteri,- -,1
13,3,Max,- -,1
13,4,Sergio,- -,1
13,5,Lance,- -,1
13,6,Alexander,- -,1
13,7,Carlos,- -,1
13,8,Lando,- -,1
13,9,Charles,- -,1
13,10,Pierre,- -,1
13,11,Sebastian,- -,1
13,12,Daniil,- -,1
13,13,Daniel,- -,1
13,14,Kimi,- -,1
13,15,Esteban,- -,1
13,16,Kevin,- -,1
13,17,Romain,- -,1
13,18,George,- -,1
13,19,Nicholas,- -,1
13,20,Antonio,- -,1
14,1,Lewis,LEADER,1
14,2,Valtteri,- -,1
14,3,Max,- -,1
14,4,Sergio,- -,1
14,5,Lance,- -,1
14,6,Alexander,- -,1
14,7,Carlos,- -,1
14,8,Lando,- -,1
14,9,Charles,- -,1
14,10,Pierre,- -,1
14,11,Sebastian,- -,1
14,12,Daniil,- -,1
14,13,Daniel,- -,1
14,14,Kimi,- -,1
14,15,Esteban,- -,1
14,16,Kevin,- -,1
14,17,Romain,- -,1
14,18,George,- -,1
14,19,Nicholas,- -,1
14,20,Antonio,- -,1
15,1,Lewis,LEADER,1
15,2,Valtteri,- -,1
15,3,Max,- -,1
15,4,Sergio,- -,1
15,5,Lance,- -,1
15,6,Alexander,- -,1
15,7,Carlos,- -,1
15,8,Lando,- -,1
15,9,Charles,- -,1
15,10,Pierre,- -,1
15,11,Sebastian,- -,1
15,12,Daniil,- -,1
15,13,Daniel,- -,1
15,14,Kimi,- -,1
15,15,Esteban,- -,1
15,16,Kevin,- -,1
15,17,Romain,- -,1
15,18,George,- -,1
15,19,Nicholas,- -,1
15,20,Antonio,- -,1
16,1,Lewis,LEADER,1
16,2,Valtteri,- -,1
16,3,Max,- -,1
16,4,Sergio,- -,1
16,5,Lance,- -,1
