overtaker,overtaken,overtaketimes,date
Wat,Tam,3,1981
Wat,Sur,2,1981
Wat,Ros,2,1981
Wat,Reu,4,1981
Wat,Piq,2,1981
Wat,Laf,1,1981
Wat,Gia,3,1981
Wat,Arn,1,1981
Wat,And,3,1981
Wat,Jar,1,1981
Wat,Man,1,1981
Wat,Dea,3,1981
Wat,Reb,1,1981
Wat,Pro,3,1981
Wat,Vil,2,1981
Wat,Pat,2,1981
Wat,Sal,1,1981
Wat,Bor,2,1981
Wat,Pir,2,1981
Wat,Alb,1,1981
Tam,Wat,1,1981
Tam,Sur,2,1981
Tam,Ros,1,1981
Tam,Piq,3,1981
Tam,Jab,2,1981
Tam,Gia,2,1981
Tam,Che,1,1981
Tam,And,4,1981
Tam,Jar,1,1981
Tam,Man,2,1981
Tam,Dea,2,1981
Tam,Reb,3,1981
Tam,Vil,1,1981
Tam,Zun,1,1981
Tam,Dec,3,1981
Tam,Pat,1,1981
Tam,Bor,1,1981
Tam,Pir,2,1981
Tam,Dal,1,1981
Sur,Wat,1,1981
Sur,Tam,4,1981
Sur,Ser,2,1981
Sur,Ros,2,1981
Sur,Laf,1,1981
Sur,Jab,1,1981
Sur,Gia,1,1981
Sur,Jar,2,1981
Sur,Man,1,1981
Sur,Dea,1,1981
Sur,Reb,1,1981
Sur,Pro,1,1981
Sur,Pat,2,1981
Sur,Bor,3,1981
Sur,Dal,2,1981
Ser,Sur,1,1981
Ser,Laf,1,1981
Ser,Reb,1,1981
Ser,Sto,1,1981
Ser,Sal,1,1981
Ros,Piq,1,1981
Ros,Gia,1,1981
Ros,Jar,1,1981
Ros,Man,1,1981
Ros,Dea,1,1981
Reu,Sur,2,1981
Reu,Piq,2,1981
Reu,Laf,2,1981
Reu,Jon,1,1981
Reu,Che,1,1981
Reu,Arn,2,1981
Reu,And,2,1981
Reu,Man,1,1981
Reu,Vil,2,1981
Reu,Dec,1,1981
Reu,Pat,1,1981
Reu,Bor,1,1981
Reu,Pir,4,1981
Piq,Wat,2,1981
Piq,Tam,1,1981
Piq,Ros,1,1981
Piq,Reu,4,1981
Piq,Laf,3,1981
Piq,Jon,2,1981
Piq,Gia,2,1981
Piq,Arn,2,1981
Piq,Man,1,1981
Piq,Pro,1,1981
Piq,Vil,1,1981
Piq,Pat,1,1981
Piq,Pir,6,1981
Laf,Wat,5,1981
Laf,Ros,1,1981
Laf,Reu,4,1981
Laf,Piq,3,1981
Laf,Jon,2,1981
Laf,Gia,1,1981
Laf,Arn,2,1981
Laf,And,1,1981
Laf,Jar,2,1981
Laf,Dea,1,1981
Laf,Pro,1,1981
Laf,Vil,1,1981
Laf,Dec,1,1981
Laf,Pat,1,1981
Laf,Pir,4,1981
Jon,Wat,1,1981
Jon,Ros,1,1981
Jon,Reu,3,1981
Jon,Piq,1,1981
Jon,Jab,1,1981
Jon,Gia,2,1981
Jon,Arn,2,1981
Jon,And,1,1981
Jon,Reb,1,1981
Jon,Pro,2,1981
Jon,Vil,2,1981
Jon,Pat,1,1981
Jon,Bor,1,1981
Jon,Pir,3,1981
Jab,Tam,1,1981
Jab,Ros,1,1981
Jab,Man,1,1981
Jab,Sal,1,1981
Gia,Wat,2,1981
Gia,Ser,2,1981
Gia,Ros,1,1981
Gia,Reu,1,1981
Gia,Piq,4,1981
Gia,Laf,2,1981
Gia,Jon,1,1981
Gia,And,1,1981
Gia,Jar,1,1981
Gia,Man,2,1981
Gia,Dea,3,1981
Gia,Reb,1,1981
Gia,Sto,1,1981
Gia,Zun,1,1981
Gia,Dec,1,1981
Gia,Pat,1,1981
Gia,Bor,1,1981
Gia,Pir,1,1981
Gia,Dal,1,1981
Gab,Tam,1,1981
Gab,Ser,1,1981
Gab,Reb,1,1981
Che,Wat,1,1981
Che,Tam,2,1981
Che,Sur,1,1981
Che,Ros,2,1981
Che,Gia,1,1981
Che,Gab,1,1981
Che,And,2,1981
Che,Jar,1,1981
Che,Man,2,1981
Che,Dea,1,1981
Che,Reb,2,1981
Che,Dec,1,1981
Che,Pat,1,1981
Che,Bor,1,1981
Che,Pir,2,1981
Che,Alb,1,1981
Che,Dal,1,1981
Arn,Sur,2,1981
Arn,Ser,1,1981
Arn,Ros,1,1981
Arn,Reu,2,1981
Arn,Laf,1,1981
Arn,Gia,1,1981
Arn,And,1,1981
Arn,Man,1,1981
Arn,Reb,2,1981
Arn,Vil,2,1981
Arn,Dec,2,1981
Arn,Pat,1,1981
Arn,Sal,1,1981
Arn,Bor,1,1981
Arn,Pir,2,1981
And,Wat,1,1981
And,Tam,3,1981
And,Sur,1,1981
And,Reu,2,1981
And,Piq,1,1981
And,Che,1,1981
And,Jar,1,1981
And,Man,3,1981
And,Dea,2,1981
And,Sto,1,1981
And,Dec,2,1981
And,Bor,1,1981
And,Pir,1,1981
And,Dal,1,1981
Jar,Wat,1,1981
Jar,Sur,2,1981
Jar,Ros,1,1981
Jar,Laf,2,1981
Jar,Gia,2,1981
Jar,Che,1,1981
Jar,And,2,1981
Jar,Man,1,1981
Jar,Reb,2,1981
Jar,Pro,1,1981
Jar,Dec,1,1981
Man,Wat,2,1981
Man,Sur,1,1981
Man,Ros,2,1981
Man,Reu,1,1981
Man,Piq,3,1981
Man,Laf,1,1981
Man,Gia,1,1981
Man,Arn,1,1981
Man,And,3,1981
Man,Jar,1,1981
Man,Reb,2,1981
Man,Vil,2,1981
Man,Dec,1,1981
Man,Pat,2,1981
Man,Sal,2,1981
Man,Pir,1,1981
Dea,Wat,1,1981
