id,label,date,enddate,constructorName
watson,watson,1981,1985,mclaren
tambay,tambay,1981,1985,ferrari
surer,surer,1981,1985,arrows
serra,serra,1981,1985,arrows
rosberg,rosberg,1981,2016,williams
reutemann,reutemann,1981,1985,williams
piquet,piquet,1981,2009,brabham
laffite,laffite,1981,1990,ligier
jones,jones,1981,1990,williams
jabouille,jabouille,1981,1984,ligier
giacomelli,giacomelli,1981,1985,alfa
gabbiani,gabbiani,1981,1985,osella
cheever,cheever,1981,1989,tyrrell
arnoux,arnoux,1981,1989,renault
andretti,andretti,1981,1993,alfa
jarier,jarier,1981,1985,osella
mansell,mansell,1981,2000,team_lotus
de angelis,de angelis,1981,1989,team_lotus
rebaque,rebaque,1981,1985,brabham
prost,prost,1981,1993,renault
villeneuve,villeneuve,1981,2006,arrows
stohr,stohr,1981,1985,arrows
zunino,zunino,1981,1990,tyrrell
patrese,patrese,1981,1993,arrows
salazar,salazar,1981,1985,march
borgudd,borgudd,1981,1985,ats
guerra,guerra,1981,1984,osella
pironi,pironi,1981,1985,ferrari
alboreto,alboreto,1981,1994,tyrrell
daly,daly,1981,1985,march
fittipaldi,fittipaldi,1991,2020,fittipaldi
schumacher,schumacher,1991,2012,mercedes
brundle,brundle,1986,1999,jordan
lehto,lehto,1991,1994,benetton
warwick,warwick,1986,1993,footwork
comas,comas,1991,1994,larrousse
hill,hill,1991,1999,williams
wendlinger,wendlinger,1991,2000,sauber
suzuki,suzuki,1990,1995,footwork
zanardi,zanardi,1991,1999,team_lotus
alesi,alesi,1990,2001,ferrari
decesaris,decesaris,1991,1993,toro_rosso
badoer,badoer,1991,2008,lola
alliot,alliot,1986,1994,larrousse
blundell,blundell,1991,1995,ligier
senna,senna,1986,2012,mclaren
scumacher,scumacher,1991,1993,mercedes
boutsen,boutsen,1990,1993,jordan
barbazza,barbazza,1991,1993,minardi
herbert,herbert,1991,2000,team_lotus
barrichello,barrichello,1991,2011,jordan
katayama,katayama,1991,1997,tyrrell
berger,berger,1986,1999,ferrari
martini,martini,1991,1999,minardi
lamy,lamy,1991,2000,team_lotus
tsuzuki,tsuzuki,1991,1993,williams
hakkinen,hakkinen,1991,2001,mclaren
irvine,irvine,1991,2001,jordan
coulthard,coulthard,1994,2004,red_bull
bernard,bernard,1990,1994,ligier
salo,salo,1994,2000,team_lotus
wend linger,wend linger,1994,1994,sauber
adams,adams,1994,1994,team_lotus
verstappen,verstappen,1994,2020,benetton
morbidelli,morbidelli,1994,1999,footwork
panis,panis,1994,2003,ligier
beretta,beretta,1994,1994,larrousse
frentzen,frentzen,1994,2001,sauber
gounon,gounon,1991,1994,simtek
de cesaris,de cesaris,1986,1994,sauber
brabham,brabham,1994,1994,simtek
gachot,gachot,1994,1999,pacific
schiatarella,schiatarella,1995,1995,simtek
inoue,inoue,1995,2000,simtek
moreno,moreno,1990,1995,moda
diniz,diniz,1995,2000,sauber
montermini,montermini,1995,1996,forti
boullion,boullion,1995,1995,sauber
papis,papis,1995,1995,footwork
deletraz,deletraz,1995,2000,pacific
tarquini,tarquini,1995,1995,fondmetal
magnussen,magnussen,1995,2020,mclaren
hamilton,hamilton,2002,2020,mercedes
trulli,trulli,1997,2011,toyota
alonso,alonso,1999,2018,renault
glock,glock,2008,2012,toyota
buemi,buemi,2010,2011,toro_rosso
sutil,sutil,2007,2014,force_india
heidfeld,heidfeld,2000,2011,bmw_sauber
kubica,kubica,2005,2019,bmw_sauber
nakajima,nakajima,2007,2009,williams
raikkonen,raikkonen,2001,2020,ferrari
kovalainen,kovalainen,2007,2013,mclaren
alguersuari,alguersuari,1998,2011,toro_rosso
button,button,2000,2016,brawn
fisichella,fisichella,1996,2009,force_india
liuzzi,liuzzi,1998,2011,liuzzi
kobayashi,kobayashi,2008,2014,toyota
vettel,vettel,2007,2020,red_bull
webber,webber,2002,2013,red_bull
massa,massa,2002,2017,ferrari
sato,sato,2002,2009,super_aguri
coulard,coulard,2001,2009,force_india
bourdais,bourdais,2008,2009,toro_rosso
de la rosa,de la rosa,1999,2012,mclaren
hulkenberg,hulkenberg,2010,2020,williams
di grassi,di grassi,2010,2010,virgin
petrov,petrov,2010,2012,renault
chandhok,chandhok,2010,2011,hrt
maldonado,maldonado,2011,2015,williams
perez,perez,2011,2020,sauber
d'ambrosio,d'ambrosio,2011,2012,virgin
karikeyan,karikeyan,2011,2011,renault
ricciardo,ricciardo,2011,2020,hrt
di resta,di resta,2011,2017,force_india
vergne,vergne,2012,2014,toro_rosso
grosjean,grosjean,1998,2020,lotus_f1
maldolanado,maldolanado,2012,2012,williams
pic,pic,2012,2013,marussia
karthikeyan,karthikeyan,2012,2012,hrt
gutierrez,gutierrez,2013,2016,sauber
bianchi,bianchi,2013,2014,marussia
van der garde,van der garde,2013,2013,caterham
bottas,bottas,2013,2020,williams
chilton,chilton,2013,2014,marussia
maldonaldo,maldonaldo,2014,2014,williams
kvyat,kvyat,2014,2020,toro_rosso
ericsson,ericsson,2014,2018,caterham
nasr,nasr,2015,2016,sauber
sainz,sainz,2015,2020,toro_rosso
stevens,stevens,2014,2015,manor
merhi,merhi,2015,2015,manor
rossi,rossi,2015,2015,manor
palmer,palmer,1986,2017,renault
haryanto,haryanto,2016,2016,manor
wehrlein,wehrlein,2016,2017,manor
vandoorne,vandoorne,2016,2018,mclaren
ocon,ocon,2016,2020,force_india
stroll,stroll,2017,2020,williams
gasly,gasly,2017,2020,toro_rosso
hartley,hartley,2017,2018,toro_rosso
sirotkin,sirotkin,2018,2018,ferrari
leclerc,leclerc,2018,2020,wolf
russell,russell,2019,2020,toyota
norris,norris,2019,2020,mclaren
albon,albon,2019,2020,bmw_sauber
giovinazzi,giovinazzi,2019,2020,sauber
latifi,latifi,2020,2020,renault
aitken,aitken,2020,2020,red_bull
klien,klien,2002,2010,red_bull
yamamoto,yamamoto,2010,2010,super_aguri
davidson,davidson,2002,2009,bar
baddoer,baddoer,1991,1993,bmw_sauber
outsen,outsen,1991,1993,jordan
dalmas,dalmas,1994,1994,ags
ratzenberger,ratzenberger,1994,1994,simtek
lagorce,lagorce,1994,1994,ligier
noka,noka,1994,1994,force_india
lavaggi,lavaggi,1995,1997,minardi
