id,label,date,enddate,constructorName
adams,adams,1994,1994,team_lotus
aitken,aitken,2020,2020,team_lotus
albon,albon,2019,2020,minardi
alboreto,alboreto,1981,1994,minardi
alesi,alesi,1990,2001,minardi
alguersuari,alguersuari,1998,2011,minardi
alliot,alliot,1986,1994,minardi
alonso,alonso,1999,2018,minardi
andretti,andretti,1981,1993,minardi
arnoux,arnoux,1981,1989,minardi
baddoer,baddoer,1991,1993,minardi
badoer,badoer,1991,2008,minardi
barbazza,barbazza,1991,1993,minardi
barrichello,barrichello,1991,2011,minardi
beretta,beretta,1994,1994,minardi
berger,berger,1986,1999,minardi
bernard,bernard,1990,1994,minardi
bianchi,bianchi,2013,2014,minardi
blundell,blundell,1991,1995,lola
borgudd,borgudd,1981,1985,lola
bottas,bottas,2013,2020,lola
boullion,boullion,1995,1995,lola
bourdais,bourdais,2008,2009,lola
boutsen,boutsen,1990,1993,lola
brabham,brabham,1994,1994,lola
brundle,brundle,1986,1999,lola
buemi,buemi,2010,2011,lola
button,button,2000,2016,lola
chandhok,chandhok,2010,2011,lola
cheever,cheever,1981,1989,lola
chilton,chilton,2013,2014,lola
comas,comas,1991,1994,lola
coulard,coulard,2001,2009,footwork
coulthard,coulthard,1994,2004,footwork
d'ambrosio,d'ambrosio,2011,2012,footwork
dalmas,dalmas,1994,1994,footwork
daly,daly,1981,1985,footwork
davidson,davidson,2002,2009,footwork
de angelis,de angelis,1981,1989,footwork
de cesaris,de cesaris,1986,1994,footwork
de la rosa,de la rosa,1999,2012,footwork
decesaris,decesaris,1991,1993,footwork
deletraz,deletraz,1995,2000,footwork
di grassi,di grassi,2010,2010,footwork
di resta,di resta,2011,2017,footwork
diniz,diniz,1995,2000,footwork
ericsson,ericsson,2014,2018,footwork
fisichella,fisichella,1996,2009,footwork
fittipaldi,fittipaldi,1991,2020,footwork
frentzen,frentzen,1994,2001,footwork
gabbiani,gabbiani,1981,1985,footwork
gachot,gachot,1994,1999,footwork
gasly,gasly,2017,2020,footwork
giacomelli,giacomelli,1981,1985,footwork
giovinazzi,giovinazzi,2019,2020,footwork
glock,glock,2008,2012,footwork
gounon,gounon,1991,1994,footwork
grosjean,grosjean,1998,2020,footwork
guerra,guerra,1981,1984,footwork
gutierrez,gutierrez,2013,2016,footwork
hakkinen,hakkinen,1991,2001,footwork
hamilton,hamilton,2002,2020,footwork
hartley,hartley,2017,2018,footwork
haryanto,haryanto,2016,2016,footwork
heidfeld,heidfeld,2000,2011,arrows
herbert,herbert,1991,2000,arrows
hill,hill,1991,1999,arrows
hulkenberg,hulkenberg,2010,2020,arrows
inoue,inoue,1995,2000,arrows
irvine,irvine,1991,2001,arrows
jabouille,jabouille,1981,1984,arrows
jarier,jarier,1981,1985,arrows
jones,jones,1981,1990,arrows
karikeyan,karikeyan,2011,2011,arrows
karthikeyan,karthikeyan,2012,2012,arrows
katayama,katayama,1991,1997,arrows
klien,klien,2002,2010,arrows
kobayashi,kobayashi,2008,2014,arrows
kovalainen,kovalainen,2007,2013,arrows
kubica,kubica,2005,2019,arrows
kvyat,kvyat,2014,2020,tyrrell
laffite,laffite,1981,1990,tyrrell
lagorce,lagorce,1994,1994,tyrrell
lamy,lamy,1991,2000,tyrrell
latifi,latifi,2020,2020,tyrrell
lavaggi,lavaggi,1995,1997,tyrrell
leclerc,leclerc,2018,2020,larrousse
lehto,lehto,1991,1994,larrousse
liuzzi,liuzzi,1998,2011,larrousse
magnussen,magnussen,1995,2020,larrousse
maldolanado,maldolanado,2012,2012,larrousse
maldonado,maldonado,2011,2015,larrousse
maldonaldo,maldonaldo,2014,2014,larrousse
mansell,mansell,1981,2000,larrousse
martini,martini,1991,1999,ferrari
massa,massa,2002,2017,ferrari
merhi,merhi,2015,2015,ferrari
montermini,montermini,1995,1996,ferrari
morbidelli,morbidelli,1994,1999,ferrari
moreno,moreno,1990,1995,ferrari
nakajima,nakajima,2007,2009,ferrari
nasr,nasr,2015,2016,ferrari
noka,noka,1994,1994,ferrari
norris,norris,2019,2020,ferrari
ocon,ocon,2016,2020,ferrari
outsen,outsen,1991,1993,ferrari
palmer,palmer,1986,2017,ferrari
panis,panis,1994,2003,ferrari
papis,papis,1995,1995,ferrari
patrese,patrese,1981,1993,ferrari
perez,perez,2011,2020,ferrari
petrov,petrov,2010,2012,ferrari
pic,pic,2012,2013,ferrari
piquet,piquet,1981,2009,ferrari
pironi,pironi,1981,1985,ferrari
prost,prost,1981,1993,ferrari
raikkonen,raikkonen,2001,2020,ferrari
ratzenberger,ratzenberger,1994,1994,ferrari
rebaque,rebaque,1981,1985,ferrari
reutemann,reutemann,1981,1985,ferrari
ricciardo,ricciardo,2011,2020,ferrari
rosberg,rosberg,1981,2016,ferrari
rossi,rossi,2015,2015,ferrari
russell,russell,2019,2020,ferrari
sainz,sainz,2015,2020,ferrari
salazar,salazar,1981,1985,ferrari
salo,salo,1994,2000,ferrari
sato,sato,2002,2009,ferrari
schiatarella,schiatarella,1995,1995,ferrari
schumacher,schumacher,1991,2012,ferrari
scumacher,scumacher,1991,1993,ferrari
senna,senna,1986,2012,ferrari
serra,serra,1981,1985,ferrari
sirotkin,sirotkin,2018,2018,ferrari
stevens,stevens,2014,2015,ferrari
stohr,stohr,1981,1985,ferrari
stroll,stroll,2017,2020,ferrari
surer,surer,1981,1985,ferrari
sutil,sutil,2007,2014,ferrari
suzuki,suzuki,1990,1995,ferrari
tambay,tambay,1981,1985,ferrari
tarquini,tarquini,1995,1995,ferrari
trulli,trulli,1997,2011,ferrari
tsuzuki,tsuzuki,1991,1993,ferrari
van der garde,van der garde,2013,2013,ferrari
vandoorne,vandoorne,2016,2018,ferrari
vergne,vergne,2012,2014,ferrari
