Source,Target,Weight,Date,EndDate
watson,tambay,3,1981,1982
watson,surer,2,1981,1982
watson,rosberg,2,1981,1982
watson,reutemann,4,1981,1982
watson,piquet,2,1981,1982
watson,laffite,1,1981,1982
watson,giacomelli,3,1981,1982
watson,arnoux,1,1981,1982
watson,andretti,3,1981,1982
watson,jarier,1,1981,1982
watson,mansell,1,1981,1982
watson,de angelis,3,1981,1982
watson,rebaque,1,1981,1982
watson,prost,3,1981,1982
watson,villeneuve,2,1981,1982
watson,patrese,2,1981,1982
watson,salazar,1,1981,1982
watson,borgudd,2,1981,1982
watson,pironi,2,1981,1982
watson,alboreto,1,1981,1982
tambay,watson,1,1981,1982
tambay,surer,2,1981,1982
tambay,rosberg,1,1981,1982
tambay,piquet,3,1981,1982
tambay,jabouille,2,1981,1982
tambay,giacomelli,2,1981,1982
tambay,cheever,1,1981,1982
tambay,andretti,4,1981,1982
tambay,jarier,1,1981,1982
tambay,mansell,2,1981,1982
tambay,de angelis,2,1981,1982
tambay,rebaque,3,1981,1982
tambay,villeneuve,1,1981,1982
tambay,zunino,1,1981,1982
tambay,de angelis,3,1981,1982
tambay,patrese,1,1981,1982
tambay,borgudd,1,1981,1982
tambay,pironi,2,1981,1982
tambay,daly,1,1981,1982
surer,watson,1,1981,1982
surer,tambay,4,1981,1982
surer,serra,2,1981,1982
surer,rosberg,2,1981,1982
surer,laffite,1,1981,1982
surer,jabouille,1,1981,1982
surer,giacomelli,1,1981,1982
surer,jarier,2,1981,1982
surer,mansell,1,1981,1982
surer,de angelis,1,1981,1982
surer,rebaque,1,1981,1982
surer,prost,1,1981,1982
surer,patrese,2,1981,1982
surer,borgudd,3,1981,1982
surer,daly,2,1981,1982
serra,surer,1,1981,1982
serra,laffite,1,1981,1982
serra,rebaque,1,1981,1982
serra,stohr,1,1981,1982
serra,salazar,1,1981,1982
rosberg,piquet,1,1981,1982
rosberg,giacomelli,1,1981,1982
rosberg,jarier,1,1981,1982
rosberg,mansell,1,1981,1982
rosberg,de angelis,1,1981,1982
reutemann,surer,2,1981,1982
reutemann,piquet,2,1981,1982
reutemann,laffite,2,1981,1982
reutemann,jones,1,1981,1982
reutemann,cheever,1,1981,1982
